aymara,spanish
Acapacha,Mundo
Achachi,Persona de mucha edad. Viejo
Achachila,"Abuelo, anciano. Divinidad enmarcada en las montañas."
Achachilasanaka,Antepasados
Achachiña,Vejez
Achachwaka,"Toro, ganado o vacuno viejo"
Achakana,"Cacto comestible, variedad de papa"
Achakay,Expresa dolor
Achaku,Ratón
Achala,"Lascivo, lujurioso"
Achanqara,Flor de San Juan
Acharaña,Igual que
Achichmukuña,Envejecer
Achikajaña,Hacer rogar a alguien o mandar hacer algo
Achikaña,"Suplicar, rogar, implorar"
Achikaniña,Ir a rogar
Achikarapi,Persona que se lo ruega para alguien
Achiksuña,Acción ya terminada de rogar
Achikt'aña,"Rogar por un momento, rogarse"
Achila,"Anciano, espíritu ancestral"
Achima,"Sombrilla, quitasol. Vela de las balsas de totora"
Achjaña,"Ladrar, morder."
Achjata,Mordido
Achjayaña,Hacer morder
Achu,Fruto
Achucata,Morder
Achuña,Llevar algo en la boca (sólo animales)
Achupaya,Piña
Achuqalla,Rito que se hace al techar una casa
Achuraña,Morder uno por uno
Achusiña,Protestar en ausencia de alguien
"Acwa, Akaru",Aquí
Ahuatiña,Pastear
Aicha,Carne
Aikkuña,Quejarse
Aillri,Persona que cava
Ainacha inti,Sud
Airu,Planta
Ajanu,"Cara, Rostro"
Ajayu,"Ánima, espíritu, alma"
Ajgkataña,Feo
Ajgsaraña,Temer
Ajgsarayaña,Atemorizar
Ajgsarcaña,Terrible
Ajgsariri,Tímido
Ajhanu,Rostro
Ajhsaraña,Miedo
Ajllina,"Escoger, elegir de una cantidad"
Ajlliña,"Elegir, escoger, seleccionar"
Ajllita,"Elegido, escogido."
Ajlliyaña,Hacer escoger
Ajllsuña,Escoger
Ajllu,Tartamudo
Ajsuyaña,Acción de sacar algo del cuello
Ajuntaña,Poner algo en el cuello
Aka,"Esto, esta, este"
Akana,Aquí o en este lugar
Akanaca,Estos
Akankaña,Estar aquí
Akapacha,"Este mundo, tierra o planeta"
Akaxa,Aquí está
Akch'a,De este tamaño
Akhulliña,Mascar la hoja de coca
Akhullita,Hoja de coca mascada
Akirpachaña,Hospedar
Akja,"Aquí, lugar que señala. De cantidad"
Akjama,"De modo, así era o es"
Akjamata,De este modo
Akjanxa,En este lugar
Aksa,Este lado
Aku,"Muela. Polvo o pito de cebada, quinua, etc."
Akuchaña,"Moler cereales, tostar o pulverizar"
Akullt'ayaña,Invitar a mascar la hoja de coca
Alajgpacha,Cielo
Alajri,Vendedor o empleado
Alakipa,Revendedor de productos
Alakipir,"Comerciante, negociante"
Alala,"Frígido. Frívolo, persona sin sentimientos"
Alam,Compra
Alaña,Comprar
Alanuqaña,Comprar varias cosas
Alaqaña,Comprar de alguien
Alarapiña,Comprar algo para alguien. Comprárselo
Alarpayaña,Manía de comprar
Alarpayiri,Persona que compra de todo
Alasim,Cómprate
Alaxpacha,Espacio eterno. Cielo
Alaxpachankiri,Ser divino que está en el espacio celestial
Alaya,Arriba. Lugar que señala arriba
Alaytuqi,Hacia arriba
Alchi,Nieto
Alhaña,Vender
Alhuata,Temprano
Ali,"Arbusto. Árbol, planta, retoño"
Alikipaña,Crecer más de lo debido. (sólo para plantas)
Aliña,Crecer (sólo vegetales)
Alinaqaña,"Cabecear, mover la cabeza"
Alintaña,Inclinar la cabeza por algún motivo
Alintayiri,Persona que hace inclinar la cabeza
Alinuqaña,Comenzar a crecer (sólo plantas)
Aliqa,"Tranquilo, quieto. Vanamente"
Aliqaki,"Sin motivo, sin razón, sin justificación"
Aliqt'aña,"Estar quieto, inmóvil"
Aliraña,Germinar
Alirayiri,Persona que trasplanta. Jardinero
Aliri,Crecido. Comprador. Echar animales
Alisnaqaña,Corretear a los animales
Alisnukuña,Echar de la casa. Desalojar del hogar
Aliwqayiri,Jardinero
Aljaña,Vender
Aljarpayaña,Vender todo a un precio muy bajo
Aljata,Vendido
Aljayaña,Hacer vender a alguien los productos
Alkataña,"Almacenar, Arrimar, acercar. Hacer reverencia"
Alkatayiri,Persona que hace apoyar
Alkatiri,Persona que apoya la cabeza en algo o alguien
Allchhi,Nieto o nieta
Alliña,Cavar el suelo o tierra
Allintaña,Enterrar
Allintarapiña,Persona que entierra
Alliqaña,Desprender la tierra en forma horizontal o vertical
Alliqtaña,"Derrumbar, desmoronar"
Alliqtayaña,Hacer que se derrumbe
Alliqtayiri,Persona que derrumba
Allirantaña,"Hundirse, desmoronarse a sí mismo"
Allirapiña,Cavar para alguien. Cavárselo
Alljataña,Cubrir con tierra la superficie cavada
