target_sentence,source_sentence
"Ella describe dicho índice de fracasos como ""asesinato en masa"".","Jupax taza de fracaso uk ""taqpachan jiwayatapkaspas"" ukjamarak amuyi."
"El lunes, Ali Muhsen, un alto oficial del ejército yemení declaró su apoyo por ""la revolución pacífica de los jóvenes y sus demandas.""","Ali Abdullah Saleh uka jaqixa walx kutiwa jawsi pallapallanakaru kunalaykutix jupanakan tuwaqapxañapataki unxtasirinakaru, mark amanqirinakaru saykatirinakata jan kunas jupanakaru yankhachatañapataki."
Fotografía tomada por Josephine Tsang.,Photo taken by Josephine Tsang.
¡Hola Mundo!,Kamisakisipktas uraqpachankirinaka!
"Esas 10 películas competirán por el gran premio, y ganará las que tengan más éxito de cada categoria.",Ukat 10 propuestanak mä jach`a premiotak atipt`asipxani.
"@MatilaFonte: Che Bergolio, Che Bergolio, no te lo decimos maaas, este año pecamos todos, total vos nos perdonas ♫ #LaBarraDelPapa","@ MatilaFonte: Che Bergolio, Che Bergolio, janiw juk 'amp kuns sapkxirismati, aka marax taqiniw juchachasiwapxta, p 'amp 'acht 'apxitaya ♫ # LaBarraDelPapa"
"Durante la Cumbre de Global Voices 2010 en Chile, una joven de Madagascar me preguntó si en verdad yo venía de Japón, el país por el que ella siente gran pasión incluyendo su idioma, cultura y especialmente el sushi.","Khaysa 2010 Chilen jach ’ a tantachäwi apaskipanwa, mä q ’ axu tawaqitaw khaysa Madagaskartuqit wajisk t ’ itunayax khaysa Japon suyutuqitataxa, jupaxsiwa nayax walpun uka suyum sarañ munta sasina, arupsa, sarawinakapsa, juk ’ ampirusasushitwayatxatañ munta sasina."
@Aristegui_CNN: #VetedeChilePeñaNieto ¡No!,@ AlonsoDamian: @ Aristegui _ CNN janiw kunatsa!
"El 28 de agosto de 2012, las autoridades bolivianas incautaron dos toneladas de material sólido, presuntamente uranio o minerales radiactivos, que se estaban transportando sin ningún tipo de seguridad ni medidas de protección desde una propiedad situada en un distrito céntrico de La Paz cercano a varios despachos de diplomáticos.","Pä waranqa tunka payani marat aka llumpaqa paxsitx niya Pätunka kimsaqalq uru jalakipatatx autoridades bolivianas ukanakax pä tonelada de material sólido katxapxatayna, janiw sum yatiskiti uraniopach jan sipansti kuma mineral radiactivopachacha, aka materialx La Paz markan ni despachos de diplomáticos uka jak ’ anw mä utan katxapxatayna, ukhamarusti, akax jan kuna medidas de seguridad jan kuna medidas de protección ukamp apnaqatataynawa."
"La verdad es que jamás en mi vida pensé que, siendo una traductora voluntaria, tendría la oportunidad de formar parte de esta familia de GV y conocer a tanta gente increíble que va cambiando el mundo.","Chiqpachansa janiw kuna pachas kunti lurkt ukx lup 'irikayatti, GV uksan juk 'amp uraqpachar uñt 'ayapk uka jila kullakanakamp chika sarantaña munta."
"¿Entonces, la internet nacional es la preferida de quién?",Mä “internet limpia“ uk uñacht 'aytana.
"@abuhatem: En lo que a Siria se refiere, Romney y Obama son exactamente lo mismo.","@ abuhatem: Siria ukax arst 'anwa, Romney ukat Obama ukanakax chiqans kipkakipxiwa."
¡Que se quede allá!,Munapst ukhax Piñera khitanipxäwa.
"La oficina del primer ministro Tayyip Erdogan emitió un comunicado inmediatamente después, diciendo:",Oficinan nayrir ministroxTayyip Erdogan mä uskutäna ukatx sarakitaynawa:
Recordando al líder de la oposición encarcelado,Oposición irpirin jist 'antatapar amtkasa
"En un país donde la tasa de analfabetismo de ambos sexos (15 años y más) es de casi el 40 por ciento, la educación y el empoderamiento de mujeres y jóvenes es una necesidad imprescindible para cualquier desarrollo concreto en Yemen.","Kunatix mä markanst waynanak tawakunakax (tunka phisk mar jan ukax juk`am maraninaka) 40 por ciento, de tasa de analfabetismo ukhamaxa, yatiqañamp waynakak tawakunak mirt`añapampix wali askiw Yemen uksätak ukhamat akax juk`amp nayrar mistuñataki."
