target_sentence,source_sentence
"Este post fue publicado primero en Afribuku, blog sobre cultura africana contemporánea.","Aka uñart ’ äwix nayririx akawjtuqin Afribuku, uñacht ’ ayatäna, cultura africana contemporánea uñart ’ äwi."
Esto es lo que llamamos la inundación de los cinco años.,Uk nänakax phisqa mara qutachrantaw sutiyapxta.
17 trozos de sabiduría de Nelson Mandela que todos debemos leer,Nelson Mandelan 17 tama arunak taqin ullarapxañäni
"Incluso después de que el conflicto terminó la policía, siguió lanzando gases lacrimógenos contra los manifestantes pacíficos que volvían a sus casa, lejos del ayuntamiento.","Ukjamat tukuyipanx pallapallanakax gases lacrimógenos ukampix illapt ’ as antutaskakinw arsusirinaktuqixa, ukatw jupanakax utanakapar kut ’ xapxana, jach ’ a tantachäw jayana."
"Sin embargo, el equipo de Wikitongues es cauto al no referirse a los diferentes idiomas como mayoritarios o minoritarios en el sitio web, y les dan igualdad a todos sin importar el número total de hablantes que haya en el mundo.","Ukjamipansti, qutucht ’ ata Wikitongues ukax juk ’ anakats jila arunakats janiw arsuñ sitio web ukanx munkiti, ukat jupanakax uraqpachan janiw qawqhas arsurinakax uk munapkiti, jan ukax khuskhat taqpachanir ch ’ amanchapxi,"
"La ley tiene aplicación en el mar territorial y la zona económica exclusiva uruguaya, y prohíbe la caza, persecución, apropiación, pesca o sometimiento a procesos de transformación a cualquier cetáceo.","Kamachix lamar quta jak ’ ankirinakatak ukat economia uruguaya ukanakatakkikiwa, wallinanak tilfinanak jiwayaña, arknaqaña, katuña ukanakax jark ’ t ’ atäxiwa, janiw kuna lurawinakas utjañapakiti sasa."
El partido es tu abuelo y tu madre.,The party is your grandpa and mother.
Erwin C. en el blog The Latin Americanist citó a una de las madres que participa en la huelga de hambre:,Erwin C blog Latino Americano uka tuqinkiriw mä huelga lurir mamaru jawsayawayi:
Los habitantes de Gaza se quedaron despiertos toda la noche mientras Israel continuaba bombardeando el enclave palestino.,"Palestina thiyar bombamp churt ’ asipkäna. Ukatxa, paypachaniw, Gazamp Israelamp, ninamp churt ’ asipxäna."
http://youtu.be/pC4avU3W5bU,http: / / youtu.be / pC4avU3W5bU
"Paralelamente, en África, varios dialectos de la familia bantú, de similar predominio, no están presentes en los aparatos móviles.","Ukhamaraki, África markanx, familia bantú walja dialecto ukanakaw ukham apnaqataxa, janiw apnaqkay aparatos ukanakankiti."
Bajo la etiqueta #yocuidolavida se pueden revisar más opiniones y reportes de la jornada.,# nayax sum jakañax uñjta ukhamarakiw sapa jaqin arunakap jichhurutx thaxtasispäwa.
"* Foto en thumbnail por Phil Guest, publicada bajo licencia CC Licence BY-SA 2.0.","* Jamuqa Phil Guest, aka CC Licence BY-SA 2.0 tuq qhanstayata."
"No se deben bloquear las nuevas tecnologías, y no se debe castigar a los innovadores por las acciones de los usuarios.",Machaq tecnologias uñt ’ atanakax janiw jark ’ t ’ atañapakiti. Apanaqirinakan (usuarios) machaq uñstayäwinakapax janiw yanqhachatakaspati.
En la imaginería católica es común que se represente traspasado por varias flechas y atado a un árbol.,(Católica imaginaria) ukan yatitaw walja mich ’ iñanakamp quqar ñach ’ añtat uñjasi.
"Según la prensa iraní, varios perros fueron confiscadas recientemente y trasladados ""temporalmente a la cárcel"".","Ukjamaw prinsa iraní siwa, walja anunakaw jichax katuräta ukat apapxarakiw “juk 'a pacha jist 'antañataki ”."
Fue juzgado en secreto y sentenciado el pasado abril a cuatro años de prisión.,Jamasat juchanchata juchancht ’ ataw pasir pusi ur saraqkipan qasaw paxsit watañ utar jist ’ antata.
Fotografía de Wadaana.,Aka jamuqax Wadaanan apsutawa.
Cada vez más y más aquí.,Sapakutiw akanxa.
Todas las imágenes han sido republicadas con su autorización.,Taqi ukanakax jupan iyawsatapxaruw qhanar apsuwayataraki.
"Ella tranquiliza a los niños diciéndoles que todo está bien, y que estarán a salvo dentro del salón de clases, y recordándoles que mantengan sus cabezas agachadas.","Jupaxa llamp ’ utatayiwa chuymanakapxa taqikunas walikiskaniw sasina, janiw kunas aka yatiqañ uta manqhanxa atkaniti sasina, amt ’ ayasina jan winkt ’ atata sartaphañapataki."
¿Cuál es?,¿Kawkirisa?
Infobae publicó un Storify con más reacciones desde Twitter.,Infobae juk ’ amp amuyüwinakamp mä Storify Twitter ukan uñacht ’ ayi.
"@GabiManducaa: Che Cristina, che Cristina, que amargada se te ve, el papa no es kirchnerista, que carajo vas a hacer? #LaBarraDelPapa","@ GabiManducaa: Che Cristina, che Cristina, wali llakitaw uñjastaxa, papax janiw kirchneristakiti, kunsa lurata? # LaBarraDelPapa"
"Como colofón a un gran día, se realizó la presentación del premio Breaking Borders: léase el siguiente informe.","Uka urusti tukuyawayxarakiwa, Breaking Borders paylläwinakarakiw (premios) lurasiwayi: akayatiyäwi ullart ’ apxasma."
@habibh: #Gaddafi amenaza a su propio pueblo en la televisión con penas de muerte …,@ habibh: # Gaddafix jiwayawimpiw markpacharu aka telivision tuqi axsarayiwa …
Después de la manifestación se llevó a cabo una conferencia de prensa y el alcalde se comprometió a ampliar 10 días el plazo para que el público haga sus comentarios.,Uka sartasiw makiptatatx mä conferencia de prensa ukaw utjäna ukanx alcaldex 10 uru suyt 'añani markachirinakan arst 'äwinakap ist 'añataki sasaw arst 'awayi.
"Por otro lado, LSO escribió una entrada breve en su blog, donde se refiere a Videla como un ""digno oficial y soldado que cumplió la misión que le impuso su honor.""","Ukampirusa, blogupanw LSO mä jisk ’ a mantäwin qilqt ’ iwa, ukanx Videlat arst ’ i ""wali suma pallapalla kunti chuymapax siskan lurañx uka lurawayiwa."""
http://vimeo.com/32219379,http: / / vimeo.com / 32219379
